ck3_county,eu5_locations
"c_BAL_anbyeon","anzhou"
"c_BAL_central_hoewon","chalin|taowen|wanhufu|wehe"
"c_BAL_changchun","changchun"
"c_BAL_dazhou","bayan_susu|hailun|hulan|hvlan|lake_qingken|ougen"
"c_BAL_delizhen","boduna|hulawen|shangjing|shulan|yushu|zhaozhou_jurchen"
"c_BAL_dongju","tongzhou|tongan"
"c_BAL_dongpyeong_yizhou","dongning|jixi|juru_hoton|mishan|mulun"
"c_BAL_east_amnok","luzhou"
"c_BAL_east_hoewon","futi|lahasusu|nuoluo|shuangyashan|tulguur"
"c_BAL_east_hyeondeok","helong|luzhou"
"c_BAL_east_jangryeong","kaiyuan_jurchen|ningchang|tieling|tongliao|yehe|yizhou_jurchen"
"c_BAL_fengzhou","bukcheong|dancheon|hamheung|jangjin"
"c_BAL_fuzhou","fuzhou|suzhou|xianzhou"
"c_BAL_heuksu_anwon","alchan|bikinka|imanka|katen|vaka|xunka"
"c_BAL_huligai","hailang|ilan_hala|lake_jingpo|malong|mudan_ula|ningguta|odoli"
"c_BAL_ilanshan","bayan_susu|hailun|hulan|hvlan|lake_qingken|ougen"
"c_BAL_jeongni","yongmingcheng"
"c_BAL_jixi","jixi"
"c_BAL_makhil","changchun|girin_ula|gongjiang_jurchen|itu_jilin|nongan"
"c_BAL_namhae","nanjiang"
"c_BAL_ningzhou","ningzhou"
"c_BAL_north_anbyeon","anju_nurgan|kaiyuan_warka|nogule|shili|yongmingcheng"
"c_BAL_north_anwon","dongning"
"c_BAL_northyongwon","helong|huncun|kahari|longjing|tulazi|yenji"
"c_BAL_sokju","suzhou"
"c_BAL_solbin","huazhou|jianzhou"
"c_BAL_south_hoewon","hailang|ilan_hala|lake_jingpo|malong|mudan_ula|ningguta|odoli"
"c_BAL_southyongwon","eastern_korean_mountains1|eastern_korean_mountains2|eastern_korean_mountains3|eastern_korean_mountains4|gapsan|musan|samsu"
"c_BAL_supin","anchun|hulin|lake_khanka|namunka|noto_ussuri|yiman"
"c_BAL_west_amnok","huanzhou"
"c_BAL_west_cheolli","boduna|hulawen|shangjing|shulan|yushu|zhaozhou_jurchen"
"c_BAL_west_hyeondeok","golmin_salggiyan|hoifa|huifacheng|juxeri|lefu|sunggari"
"c_BAL_west_jangryeong","hezhou"
"c_BAL_west_makhil","chaghankhot|gorlos|huolin|lake_chagan|lake_yueliang|taluhe|tuliemao|wafang"
"c_BAL_xinzhou","kaiyuan_jurchen|ningchang|tieling|tongliao|yehe|yizhou_jurchen"
"c_BAL_yeongju","yingzhou"
"c_BAL_yizhou","fengzhou|jizhou"
"c_BAL_yongcheon","shangjing|bozhou"
"c_BOR_banjar","banjar|katingan|kapuas"
"c_BOR_berau","hulu_sembakung|sebuku|sesayap|tarakan|tawau|tong_talun"
"c_BOR_brunei","brunei_bay|kimanis_bay|kudat_peninsula|paitan_bay|south_china_sea13|south_china_sea14"
"c_BOR_iban","brunei_bay|kimanis_bay|kudat_peninsula|paitan_bay|south_china_sea13|south_china_sea14"
"c_BOR_kudat","kudat|kinabatangan"
"c_BOR_kutai_jauh","borneo_jungle1|borneo_jungle10|borneo_jungle11|borneo_jungle12|borneo_jungle13|borneo_jungle14|borneo_jungle2|borneo_jungle3|borneo_jungle4|borneo_jungle5|borneo_jungle6|borneo_jungle7|borneo_jungle8|borneo_jungle9"
"c_BOR_kutai_utara","hulu_sembakung|sebuku|sesayap|tarakan|tawau|tong_talun|kayan|kelay|sambaliung|segah|sungai_lati|tanjung_palas"
"c_BOR_lahad_datu","lahad_datu|tawau"
"c_BOR_martapura","martapura"
"c_BOR_menjelutung","tarakan"
"c_BOR_nabawan","hulu_labuk|kota_marudu|kudat|mapun|sandakan|sibumbong|sugut"
"c_BOR_rajang","brunei_bay|kimanis_bay|kudat_peninsula|paitan_bay|south_china_sea13|south_china_sea14"
"c_BOR_sambas","sambas|mempawah|sanggau"
"c_BOR_sampit","sampit"
"c_BOR_santubong","santubong"
"c_BOR_sintang","sintang"
"c_BOR_sukadana","sukadana"
"c_BOR_tabalung","belayan|hulu_mahakam|hulu_telen|kelinjau|lake_melintang|mahakam|muarakaman|telen"
"c_BOR_taiao","barito|hulu_barito|karau|lahei|laung|teweh"
"c_BOR_tanah_taman","igan|julau|mukah|sarikei|tatau"
"c_BOR_waringin","seruyan"
"c_EM_doodonon","khilgo|khilgoson|sulkhari|ung"
"c_EM_jiangbian","avraga|kherlen|rahsaan_khad|uguumur|undurkhaan"
"c_EM_khaldun","baldan_bereeven|balj|kyra|onon"
"c_EM_khiltsaiz","khilgo|khilgoson|sulkhari|ung|khadanzaa|khan_khentii|khan_khentii2|khan_khentii3|kyakhta|tsokh"
"c_EM_khoyorgol","khadanzaa|khan_khentii|khan_khentii2|khan_khentii3|kyakhta|tsokh"
"c_EM_kizilkhentii","ingedei"
"c_EM_ononum","baldan_bereeven|balj|kyra|onon"
"c_EM_shilka","kara_shilka|kuenga|silkari|uryum"
"c_EM_tsetsen","khadanzaa|khan_khentii|khan_khentii2|khan_khentii3|kyakhta|tsokh"
"c_EM_urtolgod","baldan_bereeven|balj|kyra|onon"
"c_EM_yujuelu","baruun_tar_nuur|lake_yakhi|lake_zuun_tooroi|lower_ulz|tsagaan|upper_ulz|yakhi|zyyn_tar_nuur"
"c_IDO_bali","julah|lombok|melara|samprangan|sasak"
"c_IDO_barat_daya","wetar"
"c_IDO_galiyao","babar|bungabali|damar|leti|sangliat_dol|wetar|yamdena|bajo_flores|cibal|lamakera|larantuka|ngada|sikka|balibo|kupang|laran|lifau|likusaen|nunkolo|sombai|tutuala"
"c_IDO_humba","bajo_flores|cibal|lamakera|larantuka|ngada|sikka"
"c_IDO_lombok_and_sumbawa","bima|lombok|taliwang"
"c_IDO_nusa_nipa","larantuka"
"c_IDO_sonba_i","kupang"
"c_IDO_wehale","alor_strait|cape_tujau|damar_archipelago|leti_archipelago|ombai_strait|pedang_bay"
"c_JAV_cimanuk","cimanuk"
"c_JAV_galuh","kawali|cirebon|pangandaran"
"c_JAV_janggala","daha"
"c_JAV_kalingga","dieng"
"c_JAV_lumajang","lumajang"
"c_JAV_madura","kangean"
"c_JAV_mataram","mataram|bagaluhan"
"c_JAV_sunda","banten"
"c_LIAO_changchun","changchun"
"c_LIAO_chaoyang","chaoyang|chuanzhou|qianzhou|chengzhou"
"c_LIAO_dading","enzhou"
"c_LIAO_dalian","avga|baganuur|erenkhot|khobootsar|shuluun_khoboot_tsagaan|sonod"
"c_LIAO_diezhou","tongzhou|kaizhou|dandong"
"c_LIAO_guidezhou","fengcheng"
"c_LIAO_heicaoan","avnagar|chono|khuuchid|lake_ulgain|sangiin_dalai|sorin_nuur|ulgain|uzemchin"
"c_LIAO_horqinan","haihaer|kailu|linhuang|qingzhou_mongol|xinkai|zhengjiatun"
"c_LIAO_jinzhou","xizhou"
"c_LIAO_liaozhou","fuxin|guangning|kaicheng|wangping|yizhou_jinzhou"
"c_LIAO_linhuang","linhuang"
"c_LIAO_longhuazhou","haihaer|kailu|linhuang|qingzhou_mongol|xinkai|zhengjiatun"
"c_LIAO_ningzhou","ningzhou|fengzhou"
"c_LIAO_raozhou","xilin"
"c_LIAO_shenyang","shenyang|liaoyang|yaozhou"
"c_LIAO_taizhou","taizhou"
"c_LIAO_ulagaian","avnagar|chono|khuuchid|lake_ulgain|sangiin_dalai|sorin_nuur|ulgain|uzemchin"
"c_LIAO_wuzhou","wuzhou|fuzhou"
"c_LIAO_xianzhou","xianzhou|qianzhou"
"c_LIAO_yinzhou","qizhou|guangzhou"
"c_LIAO_zhenzhou","zhenzhou|fuping|suning"
"c_MAL_gangganegara","beruas"
"c_MAL_gelanggi","gelanggi|muar"
"c_MAL_johor","dungun|kampung_buloh|paka|terengganu_hills|trengganu"
"c_MAL_kedah","kedah|bujang"
