ck3_county,eu5_locations
"c_duklja","bar_cg|gradina|kotor|lake_skadar|onogost|podgorica"
"c_angerburg","barten|elk|lake_mamry|lake_sniardwy|nibork|ostroda|ryn_poland|szczytno|wegorzewo"
"c_ayrshire","ayr|dumfries|irvine|kenmure|kirkcudbright|stranraer"
"c_BAL_heuksu_anwon","alchan|bikinka|imanka|katen|vaka|xunka"
"c_BAL_north_anbyeon","anju_nurgan|kaiyuan_warka|nogule|shili|yongmingcheng"
"c_BAL_southyongwon","eastern_korean_mountains1|eastern_korean_mountains2|eastern_korean_mountains3|eastern_korean_mountains4|gapsan|musan|samsu"
"c_BOR_kutai_utara","hulu_sembakung|sebuku|sesayap|tarakan|tawau|tong_talun|kayan|kelay|sambaliung|segah|sungai_lati|tanjung_palas"
"c_EM_khiltsaiz","khilgo|khilgoson|sulkhari|ung|khadanzaa|khan_khentii|khan_khentii2|khan_khentii3|kyakhta|tsokh"
"c_IDO_galiyao","babar|bungabali|damar|leti|sangliat_dol|wetar|yamdena|bajo_flores|cibal|lamakera|larantuka|ngada|sikka|balibo|kupang|laran|lifau|likusaen|nunkolo|sombai|tutuala"
"c_SW_xingnabei","bars_khot|bayan_tumen|bayantsagaan|dalai_nuur|lake_hulun|menen|barun_xiabaer|buir_nuur|khalkh|lake_buir|tamsabulag|bayan_ula|hailar|hulun|xuguit|yimin"
"c_ak-taylak","arkat|kaynar_atbai|sarybulak|takhir|zhanaarka|kashkanteniz|kyzylsay|moiynty|mukur|zhamshy"
"c_akhadid","al_ijarah|al_labbah|al_thulayma|al_waqbi|linah|lowqah|zubala|an_nil|nasiriyah|numaniyyah|rusafa|samawa"
"c_bandhugadha","agori|bandogarh|beohari|madwas|mauganj|nagod|ramnagar|rewa|sidhi|sohagpur|vijaygarh"
"c_attie","bouake|daloa|daoukro|ngokro|seguela|assinie|cosrou|grand_bassam|toumodi"
"c_baqen","chodrak|gechak|jang_tana|nangchen|pelme|tanggula1|zurmang_namgyaltse"
"c_bezichi","borovichi|lyubytino|moshenskoye|troshovo"
"c_bithynia","atpazari|izmit|silli|uskudar"
"c_binh_dai","angkor_borei|phnom_penh|prasat_pram_lovet|srey_sarchhor|vyadhapura|angkor_knong|chhmuoh_thmei|kampong_roessei|prey_nokor|rong_damrel|tuol_ta_mouk"
"c_bitchu","aka|asakuchi|katou_bicchuu|kaya"
"c_biun","botou|libore|makalondi|mansila|say|matiakoali|nungu|pama|tambaga|gaia|tanda|tounouga|yelou"
"c_boron","bouake|daloa|daoukro|ngokro|seguela|boundiali|katiola|korhogo|morondo"
"c_briey","etain|fresnes|longwy|verdun"
"c_cappadocia","aksaray|bekarlar|bor_tur|eregli_kar|eskil|hatunsaray|insuyu|karapinar|kochisar|kulu_turkey|lake_tuz|larende|melendiz_mountains|middle_taurus_1|nigde|obruk|pirloganda"
"c_cerasus","akkus|bayramlu|giresun|mesudiye|terme|unye|west_pontus_mountains_1|west_pontus_mountains_2"
"c_cherik","chatyr_kol_lake|cholok_kaiyn|chon_naryn|jumgal|ketmen_tobe|koshoy_korgon|naryn|song_kul_lake|tian_shan11|tian_shan12|tian_shan13|tian_shan8|tian_shan9|aksu|bai_xinjiang|kucha|kumtura|qumbash|shayar|tian_shan2|tian_shan3|uqturpan"
"c_daramdin","dalingkot|gangtok|phari|tsunthang|yuksom"
"c_dhafra","abu_dhabi|al_ayn|al_dhaid|dubai|julfar|liwa|marawah|sharjah"
"c_euchaita","corum|gumus|huseyinabad|iskilip|sungurlu"
"c_em_kherulendada","avraga|kherlen|rahsaan_khad|uguumur|undurkhaan|bayan|choyrin_datsan|gazrin_chuluu|takhilyn|ulziit|bishreit|dalay|doloodyn_gobi|ikh_narttin_chuluu|saikhandulaan|ulaanbadrakh"
"c_eman_vanda","bayan_susu|hailun|hulan|hvlan|lake_qingken|ougen|dalaiketun|nemeri|northern_daqing_lakes|sart|southern_daqing_lakes|talaha|yilaha|zhalong"
"c_fes","azrou|baht|fez|la_mamora|meknes|sale|tefelfelt|volubilis"
"c_fetegar","barara|central_east_ethiopian_mountains|sharka|ziqwala"
"c_gauda","baragram|bardhaman|chandrabad|dubrajpur|ilambazar|jessore|jhenaidah|maheshpur|nadia|pandua|pipli|satgaon|sreepur"
"c_gumuz","al_rusayrisi|dabarqi|karkuj|renk|singa|assosa|fashoda|gambela|gore|kaka|naser|pibor|sobat|chilga|gilgel_beles|guba"
"c_idoma","enugu|idah|katsina_ala|nsukka|ogoja|ugbo"
"c_jend","asanas|barchkend|jand|kamyskala|sighnaq"
"c_kerala","cardamom_hills|edappaly|karikkode|kochi|manikandapuram|prakkad|vembanad_lake"
"c_kaisereia","bogazliyan|develi|hodul_mountains|kayseri|middle_taurus_5|tomarza|yahyali"
"c_kalbin","arkat|kaynar_atbai|sarybulak|takhir|zhanaarka|alatau|borohoro1|bortala|ebi_lake|jing|kuytun|sayram_lake|urghtbulaq|usu_xinjiang"
"c_kara-mugai","aitbulat|aqkol_lake|aral_karakum_desert|arys_lake|belen_ana|bolgan_ana|hunger_steppe|karakoyin_lake|shalkarteniz_lake|talmas_ata|buzikkala|jubara|karmakshi|qamystybas_lake|yangikent"
"c_kara_asirgan","bugat|chikhan_agui|gobi_altay|otegu_qulan|tevsh_uul|tsagaan_agui|tsogt|atanuul|atas_bogd|bodonch|bulgan|burqin|chinggil|jeminay|kara_irtysh|lake_jili|lake_ulungur|ulungur"
"c_kostanay","karasu|kiikkol_lake|sarykopa|sarykopa_lake|saryozen|ulkayak|bolshoy_uvat|tavdinsky_sloboda|tobolsk|vagay|vikulovo|yurginskoye"
"c_khursa","fatezh|kosozhichi|kursk|manturovo_kursk|olgov|opalkova|oskol|troitskoye_na_shchigrakh"
"c_kracheh_nokor","kracheh|sampheak_borak|tboung_khmum"
"c_kargadan","gayny|kelich|kosa_perm|perm_forest|usolye|yusva"
"c_laghwat","ain_madhi|laghouat|messaad|ouled_djellal"
"c_long_hung","kengtung|mong_hpayak|mong_hsat|mong_yang|mong_yawng|mongping|kengtawng|lai_hka|mawkmai|mongkung|mongnai|mongtung|longchuan|luchuan_mangshi|mangshi|namsam_range"
"c_lower_galatia","aksaray|hacibektas|insuyu|kirsehir|kochisar|kulu_turkey|lake_tuz|nevsehir|sariyahsi|urgup"
"c_luristan","aligurdaz|borborud|borujerd|dorud|gerit|sibak"
"c_maghas","grigoropolisskaya|petrovskoye_pontic|shad_kirman|stavropol|uspenskoye"
"c_mark","altena|arnsberg|attendorn|berleburg|brilon|meschede|siegen"
"c_maragha","heris|maragheh|qaradagh_mountains3|qaradagh_mountains4|sarab|tabriz|tufarqan|ujan"
"c_mandapika","alirajpur|bijagarh|handia|khandwa|khategaon|maheshwar|mandleshwar|mandu"
"c_magwe","magway|pagan|salay|talok|taungdwingyi"
"c_medantaka","bahadamer|gudamalani|khed|kiradu|kurki|mandore|osian|pali|phalvardhika"
"c_metzovo","arta|ioannina|parga|pindus_mountains7|preveza|pyli"
"c_nihawand","asadabad|bisotun|malayer|nahavand|sonqor|zagros_mountains10|zagros_mountains11|zagros_mountains9"
"c_nakhon_pathom","ayodhya|chaisri|dong_lakhon|kanchanaburi|lopburi|prachinburi|ratchaburi|sankamphaeng_mountains|saraburi|suphanburi|wang_pho"
